timestamp,experiment_id,provider,model,input_tokens,output_tokens,cost_usd,run_id
2026-09-25T20:55:46.507585+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,257,18,3.29e-05,9c6d800a7635
2026-09-25T20:55:47.212407+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,304,8,3.3600000000000004e-05,9c6d800a7635
2026-09-25T20:55:47.933862+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,233,8,2.65e-05,9c6d800a7635
2026-09-25T20:55:48.575413+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,238,18,3.1e-05,9c6d800a7635
2026-09-25T20:55:49.216372+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,297,8,3.29e-05,9c6d800a7635
2026-09-25T20:55:49.854565+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,426,8,4.58e-05,9c6d800a7635
2026-09-25T20:55:50.454367+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,421,18,4.93e-05,9c6d800a7635
2026-09-25T20:55:51.112933+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,251,18,3.23e-05,9c6d800a7635
2026-09-25T20:55:51.821456+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,323,18,3.95e-05,9c6d800a7635
2026-09-25T20:55:54.105837+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,249,18,3.21e-05,9c6d800a7635
2026-09-25T20:55:56.326628+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,258,18,3.3e-05,9c6d800a7635
2026-09-25T20:55:56.935620+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,232,18,3.04e-05,9c6d800a7635
2026-09-25T20:55:57.546477+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,251,8,2.83e-05,9c6d800a7635
2026-09-25T20:55:58.278164+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,251,18,3.23e-05,9c6d800a7635
2026-09-25T20:55:58.894656+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,208,8,2.4e-05,9c6d800a7635
2026-09-25T20:55:59.540737+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,331,8,3.63e-05,9c6d800a7635
2026-09-25T20:56:00.195091+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,240,8,2.72e-05,9c6d800a7635
2026-09-25T20:56:00.906211+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,332,18,4.04e-05,9c6d800a7635
2026-09-25T20:56:01.580180+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,233,18,3.0500000000000003e-05,9c6d800a7635
2026-09-25T20:56:02.518529+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,276,18,3.48e-05,9c6d800a7635
2026-09-25T20:56:03.200340+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,332,18,4.04e-05,9c6d800a7635
2026-09-25T20:56:03.868729+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,358,8,3.9e-05,9c6d800a7635
